epoch_index,loss
0,0.380038
1,0.277823
2,0.209317
3,0.163405
4,0.132634
5,0.112011
6,0.0981888
7,0.0889248
8,0.0827158
9,0.0785542
10,0.0757648
11,0.0738952
12,0.0726419
13,0.0718018
14,0.0712387
15,0.0708612
16,0.070608
17,0.0704383
18,0.0703245
19,0.0702482
20,0.070197
21,0.0701627
22,0.0701396
23,0.0701241
24,0.0701138
25,0.0701068
26,0.0701021
27,0.0700989
28,0.0700968
29,0.0700954
30,0.0700944
31,0.0700938
32,0.0700933
33,0.070093
34,0.0700928
35,0.0700927
36,0.0700926
37,0.0700925
38,0.0700925
39,0.0700925
40,0.0700924
41,0.0700924
42,0.0700924
43,0.0700924
44,0.0700924
45,0.0700924
46,0.0700924
47,0.0700924
48,0.0700924
49,0.0700924
50,0.0700924
51,0.0700924
52,0.0700924
53,0.0700924
54,0.0700924
55,0.0700924
56,0.0700924
57,0.0700924
58,0.0700924
59,0.0700924
60,0.0700924
61,0.0700924
62,0.0700924
63,0.0700924
64,0.0700924
65,0.0700924
66,0.0700924
67,0.0700924
68,0.0700924
69,0.0700924
70,0.0700924
71,0.0700924
72,0.0700924
73,0.0700924
74,0.0700924
75,0.0700924
76,0.0700924
77,0.0700924
78,0.0700924
79,0.0700924
80,0.0700924
81,0.0700924
82,0.0700924
83,0.0700924
84,0.0700924
85,0.0700924
86,0.0700924
87,0.0700924
88,0.0700924
89,0.0700924
90,0.0700924
91,0.0700924
92,0.0700924
93,0.0700924
94,0.0700924
95,0.0700924
96,0.0700924
97,0.0700924
98,0.0700924
99,0.0700924
100,0.0700924
101,0.0700924
102,0.0700924
103,0.0700924
104,0.0700924
105,0.0700924
106,0.0700924
107,0.0700924
108,0.0700924
109,0.0700924
110,0.0700924
111,0.0700924
112,0.0700924
113,0.0700924
114,0.0700924
115,0.0700924
116,0.0700924
117,0.0700924
118,0.0700924
119,0.0700924
120,0.0700924
121,0.0700924
122,0.0700924
123,0.0700924
124,0.0700924
125,0.0700924
126,0.0700924
127,0.0700924
128,0.0700924
129,0.0700924
130,0.0700924
131,0.0700924
132,0.0700924
133,0.0700924
134,0.0700924
135,0.0700924
136,0.0700924
137,0.0700924
138,0.0700924
139,0.0700924
140,0.0700924
141,0.0700924
142,0.0700924
143,0.0700924
144,0.0700924
145,0.0700924
146,0.0700924
147,0.0700924
148,0.0700924
149,0.0700924
150,0.0700924
151,0.0700924
152,0.0700924
153,0.0700924
154,0.0700924
155,0.0700924
156,0.0700924
157,0.0700924
158,0.0700924
159,0.0700924
160,0.0700924
161,0.0700924
162,0.0700924
163,0.0700924
164,0.0700924
165,0.0700924
166,0.0700924
167,0.0700924
168,0.0700924
169,0.0700924
170,0.0700924
171,0.0700924
172,0.0700924
